h1_close_time,direction,trigger_high,trigger_low,prev_high,prev_low,range_pips
2026-03-26 08:00:00+00:00,bearish,159.541,159.438,159.5,159.299,20.1
2026-03-26 09:00:00+00:00,bullish,159.534,159.436,159.541,159.438,10.3
2026-03-26 12:00:00+00:00,bearish,159.695,159.553,159.669,159.47,19.9
2026-03-26 14:00:00+00:00,bullish,159.602,159.431,159.656,159.468,18.8
2026-03-26 16:00:00+00:00,bearish,159.696,159.614,159.694,159.532,16.2
2026-03-26 18:00:00+00:00,bearish,159.801,159.714,159.765,159.632,13.3
2026-03-27 00:00:00+00:00,bearish,159.764,159.487,159.727,159.634,9.3
2026-03-27 04:00:00+00:00,bearish,159.641,159.552,159.622,159.501,12.1
2026-03-27 05:00:00+00:00,bearish,159.648,159.571,159.641,159.552,8.9
2026-03-27 10:00:00+00:00,bearish,159.945,159.777,159.941,159.763,17.8
2026-03-27 12:00:00+00:00,bullish,159.929,159.795,159.936,159.809,12.7
2026-03-27 13:00:00+00:00,bearish,159.952,159.834,159.929,159.795,13.4
2026-03-27 14:00:00+00:00,bullish,159.919,159.796,159.952,159.834,11.8
2026-03-27 15:00:00+00:00,bullish,160.17,159.699,159.919,159.796,12.3
2026-03-27 16:00:00+00:00,bearish,160.294,160.067,160.17,159.699,47.1
2026-03-30 02:00:00+00:00,bullish,159.997,159.839,160.25,159.879,37.1
2026-03-30 03:00:00+00:00,bullish,159.987,159.755,159.997,159.839,15.8
2026-03-30 04:00:00+00:00,bullish,159.844,159.736,159.987,159.755,23.2
2026-03-30 05:00:00+00:00,bullish,159.796,159.656,159.844,159.736,10.8
2026-03-30 06:00:00+00:00,bearish,159.809,159.671,159.796,159.656,14.0
2026-03-30 10:00:00+00:00,bullish,159.726,159.574,159.808,159.582,22.6
2026-03-30 11:00:00+00:00,bullish,159.644,159.484,159.726,159.574,15.2
2026-03-30 12:00:00+00:00,bullish,159.607,159.411,159.644,159.484,16.0
2026-03-30 14:00:00+00:00,bullish,159.545,159.326,159.561,159.337,22.4
2026-03-30 15:00:00+00:00,bearish,159.618,159.494,159.545,159.326,21.9
2026-03-30 16:00:00+00:00,bearish,159.637,159.383,159.618,159.494,12.4
2026-03-30 21:00:00+00:00,bearish,159.739,159.636,159.713,159.61,10.3
2026-03-30 22:00:00+00:00,bearish,159.744,159.639,159.739,159.636,10.3
2026-03-31 06:00:00+00:00,bullish,159.634,159.48,159.728,159.601,12.7
2026-03-31 08:00:00+00:00,bearish,159.786,159.624,159.74,159.494,24.6
2026-03-31 10:00:00+00:00,bullish,159.674,159.509,159.678,159.52,15.8
2026-03-31 13:00:00+00:00,bullish,159.565,159.345,159.762,159.361,40.1
2026-03-31 15:00:00+00:00,bullish,159.317,159.05,159.441,159.072,36.9
2026-03-31 16:00:00+00:00,bullish,159.119,158.898,159.317,159.05,26.7
2026-03-31 18:00:00+00:00,bullish,158.96,158.746,159.203,158.822,38.1
2026-03-31 19:00:00+00:00,bearish,158.965,158.789,158.96,158.746,21.4
2026-03-31 20:00:00+00:00,bearish,158.999,158.682,158.965,158.789,17.6
2026-03-31 21:00:00+00:00,bullish,158.763,158.658,158.999,158.682,31.7
2026-03-31 23:00:00+00:00,bearish,158.819,158.683,158.807,158.661,14.6
2026-04-01 01:00:00+00:00,bullish,158.842,158.451,158.776,158.56,21.6
2026-04-01 02:00:00+00:00,bearish,159.01,158.732,158.842,158.451,39.1
2026-04-01 04:00:00+00:00,bullish,158.859,158.585,158.786,158.659,12.7
2026-04-01 05:00:00+00:00,bearish,158.935,158.78,158.859,158.585,27.4
2026-04-01 08:00:00+00:00,bullish,158.792,158.271,158.685,158.287,39.8
2026-04-01 09:00:00+00:00,bearish,158.871,158.422,158.792,158.271,52.1
2026-04-01 15:00:00+00:00,bearish,158.751,158.464,158.672,158.457,21.5
2026-04-01 16:00:00+00:00,bullish,158.695,158.407,158.751,158.464,28.7
2026-04-01 17:00:00+00:00,bearish,158.728,158.543,158.695,158.407,28.8
2026-04-01 18:00:00+00:00,bullish,158.72,158.447,158.728,158.543,18.5
2026-04-01 23:00:00+00:00,bullish,158.732,158.579,158.809,158.597,21.2
2026-04-02 00:00:00+00:00,bullish,158.714,158.542,158.732,158.579,15.3
2026-04-02 01:00:00+00:00,bearish,158.763,158.581,158.714,158.542,17.2
2026-04-02 10:00:00+00:00,bearish,159.724,159.566,159.703,159.548,15.5
2026-04-02 11:00:00+00:00,bullish,159.7,159.543,159.724,159.566,15.8
2026-04-02 16:00:00+00:00,bullish,159.388,159.23,159.503,159.24,26.3
2026-04-02 20:00:00+00:00,bullish,159.677,159.539,159.727,159.58,14.7
2026-04-03 05:00:00+00:00,bullish,159.629,159.536,159.692,159.571,12.1
2026-04-03 09:00:00+00:00,bearish,159.635,159.569,159.632,159.542,9.0
2026-04-03 17:00:00+00:00,bearish,159.646,159.626,159.643,159.562,8.1
2026-04-05 22:00:00+00:00,bearish,159.728,159.443,159.682,159.437,24.5
2026-04-06 00:00:00+00:00,bearish,159.828,159.601,159.8,159.427,37.3
2026-04-06 02:00:00+00:00,bullish,159.744,159.616,159.802,159.656,14.6
2026-04-06 08:00:00+00:00,bearish,159.708,159.343,159.653,159.541,11.2
2026-04-06 09:00:00+00:00,bullish,159.437,159.304,159.708,159.343,36.5
2026-04-06 10:00:00+00:00,bearish,159.468,159.347,159.437,159.304,13.3
2026-04-06 11:00:00+00:00,bearish,159.558,159.413,159.468,159.347,12.1
2026-04-06 12:00:00+00:00,bearish,159.586,159.453,159.558,159.413,14.5
2026-04-06 16:00:00+00:00,bearish,159.802,159.703,159.721,159.396,32.5
2026-04-06 19:00:00+00:00,bullish,159.79,159.591,159.795,159.675,12.0
2026-04-06 23:00:00+00:00,bullish,159.67,159.568,159.726,159.594,13.2
2026-04-07 03:00:00+00:00,bearish,159.929,159.847,159.921,159.787,13.4
2026-04-07 06:00:00+00:00,bullish,159.816,159.723,159.83,159.729,10.1
2026-04-07 10:00:00+00:00,bullish,159.635,159.467,159.865,159.477,38.8
2026-04-07 16:00:00+00:00,bearish,160.029,159.868,159.963,159.776,18.7
2026-04-07 17:00:00+00:00,bullish,159.908,159.795,160.029,159.868,16.1
2026-04-07 18:00:00+00:00,bearish,159.956,159.703,159.908,159.795,11.3
2026-04-07 19:00:00+00:00,bullish,159.866,159.697,159.956,159.703,25.3
2026-04-07 20:00:00+00:00,bearish,159.867,159.542,159.866,159.697,16.9
2026-04-07 21:00:00+00:00,bullish,159.687,159.505,159.867,159.542,32.5
2026-04-07 22:00:00+00:00,bullish,159.627,159.487,159.687,159.505,18.2
2026-04-07 23:00:00+00:00,bearish,159.737,158.843,159.627,159.487,14.0
2026-04-08 01:00:00+00:00,bullish,158.791,158.544,158.962,158.598,36.4
2026-04-08 03:00:00+00:00,bullish,158.577,158.294,158.712,158.342,37.0
2026-04-08 07:00:00+00:00,bullish,158.375,158.048,158.43,158.149,28.1
2026-04-08 11:00:00+00:00,bearish,158.534,158.383,158.495,158.275,22.0
2026-04-08 15:00:00+00:00,bearish,158.419,158.182,158.325,157.884,44.1
2026-04-08 16:00:00+00:00,bearish,158.465,158.254,158.419,158.182,23.7
2026-04-08 17:00:00+00:00,bearish,158.497,158.354,158.465,158.254,21.1
2026-04-08 18:00:00+00:00,bearish,158.521,158.387,158.497,158.354,14.3
2026-04-08 19:00:00+00:00,bullish,158.744,158.379,158.521,158.387,13.4
2026-04-08 20:00:00+00:00,bearish,158.795,158.502,158.744,158.379,36.5
2026-04-09 02:00:00+00:00,bearish,158.952,158.789,158.872,158.618,25.4
2026-04-09 04:00:00+00:00,bullish,158.805,158.69,158.857,158.704,15.3
2026-04-09 05:00:00+00:00,bullish,158.754,158.644,158.805,158.69,11.5
2026-04-09 07:00:00+00:00,bearish,158.928,158.77,158.863,158.713,15.0
2026-04-09 08:00:00+00:00,bullish,158.976,158.764,158.928,158.77,15.8
2026-04-09 12:00:00+00:00,bearish,159.087,158.836,159.082,158.955,12.7
2026-04-09 13:00:00+00:00,bearish,159.114,158.855,159.087,158.836,25.1
2026-04-09 16:00:00+00:00,bearish,159.296,158.863,159.241,158.991,25.0
2026-04-09 21:00:00+00:00,bearish,159.129,158.958,159.096,158.971,12.5
2026-04-09 22:00:00+00:00,bullish,158.974,158.909,159.129,158.958,17.1
2026-04-10 00:00:00+00:00,bearish,159.123,159.042,159.099,158.957,14.2
2026-04-10 08:00:00+00:00,bullish,159.341,159.191,159.373,159.203,17.0
2026-04-10 09:00:00+00:00,bearish,159.351,159.244,159.341,159.191,15.0
2026-04-10 11:00:00+00:00,bullish,159.291,159.182,159.33,159.187,14.3
2026-04-10 14:00:00+00:00,bearish,159.203,159.069,159.188,158.899,28.9
2026-04-10 15:00:00+00:00,bearish,159.242,159.093,159.203,159.069,13.4
2026-04-10 16:00:00+00:00,bullish,159.233,159.034,159.242,159.093,14.9
2026-04-13 00:00:00+00:00,bearish,159.85,159.65,159.838,159.567,27.1
2026-04-13 02:00:00+00:00,bullish,159.782,159.652,159.845,159.667,17.8
2026-04-13 07:00:00+00:00,bullish,159.731,159.559,159.75,159.671,7.9
2026-04-13 09:00:00+00:00,bullish,159.72,159.566,159.721,159.602,11.9
2026-04-13 11:00:00+00:00,bullish,159.738,159.668,159.741,159.671,7.0
2026-04-13 12:00:00+00:00,bullish,159.849,159.645,159.738,159.668,7.0
2026-04-13 13:00:00+00:00,bearish,159.86,159.685,159.849,159.645,20.4
2026-04-13 15:00:00+00:00,bullish,159.657,159.507,159.802,159.543,25.9
2026-04-13 17:00:00+00:00,bearish,159.784,159.456,159.754,159.57,18.4
2026-04-13 20:00:00+00:00,bullish,159.392,159.29,159.41,159.295,11.5
2026-04-14 02:00:00+00:00,bullish,159.228,159.082,159.335,159.138,19.7
2026-04-14 03:00:00+00:00,bearish,159.263,159.124,159.228,159.082,14.6
2026-04-14 06:00:00+00:00,bullish,159.155,158.959,159.117,159.011,10.6
2026-04-14 09:00:00+00:00,bearish,159.168,159.025,159.167,158.949,21.8
2026-04-14 15:00:00+00:00,bullish,158.861,158.601,158.898,158.675,22.3
2026-04-14 17:00:00+00:00,bearish,158.934,158.815,158.919,158.745,17.4
2026-04-14 19:00:00+00:00,bullish,158.834,158.683,158.89,158.7,19.0
2026-04-14 22:00:00+00:00,bullish,158.824,158.735,158.891,158.745,14.6
